State,"County, State",Year,Overall Food Insecurity Rate,# of Food Insecure Persons Overall,Food Insecurity Rate among Black Persons (all ethnicities),Food Insecurity Rate among Hispanic Persons (any race),"Food Insecurity Rate among White, non-Hispanic Persons",SNAP Threshold,% FI ≤ SNAP Threshold,% FI > SNAP Threshold,Child Food Insecurity Rate,# of Food Insecure Children,% food insecure children in HH w/ HH incomes below 185 FPL,% food insecure children in HH w/ HH incomes above 185 FPL,Cost Per Meal,Weighted weekly $ needed by FI,Weighted Annual Food Budget Shortfall
TX,Anderson,2019,0.145,8400.0,0.24,0.17,0.1,1.65,0.574,0.426,0.221,2490.0,0.78,0.22,2.84,15.99,4075000.0
TX,Andrews,2019,0.098,1760.0,,0.14,0.06,1.65,0.602,0.398,0.132,750.0,0.77,0.23,2.94,16.59,886000.0
TX,Angelina,2019,0.173,15090.0,0.29,0.18,0.13,1.65,0.68,0.32,0.246,5520.0,0.72,0.29,2.84,15.98,7315000.0
TX,Aransas,2019,0.182,4450.0,,0.22,0.13,1.65,0.685,0.315,0.265,1220.0,0.81,0.19,3.01,16.97,2290000.0
TX,Archer,2019,0.142,1240.0,,0.18,0.09,1.65,0.463,0.537,0.195,370.0,0.67,0.33,2.96,16.68,628000.0
TX,Armstrong,2019,0.122,240.0,,,0.06,1.65,0.402,0.598,0.179,80.0,0.72,0.28,3.08,17.38,126000.0
TX,Atascosa,2019,0.124,6140.0,,0.17,0.1,1.65,0.703,0.297,0.178,2430.0,0.72,0.28,2.63,14.84,2763000.0
TX,Austin,2019,0.134,4000.0,0.32,0.16,0.08,1.65,0.532,0.468,0.19,1350.0,0.55,0.45,3.04,17.15,2081000.0
TX,Bailey,2019,0.109,770.0,,0.17,0.07,1.65,0.631,0.369,0.152,310.0,0.93,0.07,3.0,16.91,395000.0
TX,Bandera,2019,0.16,3540.0,,0.19,0.11,1.65,0.518,0.482,0.252,960.0,0.64,0.36,3.74,21.07,2263000.0
TX,Bastrop,2019,0.121,10230.0,0.23,0.14,0.1,1.65,0.638,0.362,0.168,3630.0,0.81,0.19,3.13,17.64,5475000.0
TX,Baylor,2019,0.163,580.0,,,0.1,1.65,0.515,0.485,0.172,130.0,0.47,0.53,2.95,16.65,293000.0
TX,Bee,2019,0.166,5400.0,0.29,0.2,0.13,1.65,0.58,0.42,0.24,1650.0,0.79,0.21,2.74,15.46,2532000.0
TX,Bell,2019,0.151,52720.0,0.24,0.18,0.12,1.65,0.642,0.358,0.224,21660.0,0.61,0.39,2.65,14.93,23875000.0
TX,Bexar,2019,0.139,270950.0,0.22,0.18,0.11,1.65,0.719,0.281,0.192,96500.0,0.73,0.27,2.78,15.69,128970000.0
TX,Blanco,2019,0.131,1500.0,,0.16,0.1,1.65,0.505,0.495,0.185,390.0,0.77,0.23,2.99,16.87,768000.0
TX,Borden,2019,0.132,80.0,,,0.09,1.65,0.281,0.719,0.22,40.0,0.28,0.72,2.96,16.66,40000.0
