County,LILATracts_1And10,SNAP Gap,Overall Food Insecurity Rate,% FI ≤ SNAP Threshold,Cost Per Meal,Final Score
Harris,1.0,1.0,0.36024844720496907,0.5869262865090402,0.5093167701863355,3.4565
Dallas,0.7583333333333333,0.6102119359205694,0.3664596273291927,0.6328233657858136,0.5341614906832299,2.902
Presidio,0.008333333333333333,0.003400554025640418,1.0,1.0,0.6521739130434783,2.6639
Hidalgo,0.5083333333333333,0.29694933010088215,0.6149068322981367,0.9151599443671765,0.1863354037267082,2.5217
Bexar,0.5833333333333334,0.4475379728198689,0.36024844720496907,0.6091794158553546,0.40372670807453404,2.404
Cottle,0.008333333333333333,0.0005700740097700965,0.9316770186335407,0.7663421418636995,0.5341614906832299,2.2411
El Paso,0.3333333333333333,0.19970619694428943,0.40372670807453415,0.8205841446453407,0.4782608695652173,2.2356
Starr,0.06666666666666667,0.02751721901408555,0.8074534161490685,1.0,0.3043478260869566,2.206
Tarrant,0.5416666666666666,0.3256641616854365,0.3043478260869566,0.42698191933240603,0.5403726708074533,2.139
Hall,0.008333333333333333,0.0010784728769525165,0.68944099378882,0.851182197496523,0.577639751552795,2.1277
Culberson,0.0,0.0011327694589185204,0.6770186335403727,0.9221140472878998,0.5093167701863355,2.1096
Cameron,0.25833333333333336,0.15469609493288175,0.5838509316770186,0.9137691237830319,0.14906832298136657,2.0597
Zavala,0.025,0.005241184093764182,0.8322981366459629,1.0,0.12422360248447213,1.9868
Lynn,0.008333333333333333,0.0018183339827669706,0.5465838509316772,0.8303198887343533,0.5962732919254657,1.9833
Hudspeth,0.008333333333333333,0.0018106747160346907,0.5714285714285714,0.8456189151599444,0.515527950310559,1.9427
Brooks,0.008333333333333333,0.0025059035502626144,0.8633540372670809,0.819193324061196,0.24223602484472054,1.9356
Crosby,0.0,0.001616385986621627,0.5279503105590063,0.8108484005563282,0.5900621118012422,1.9305
Jim Hogg,0.008333333333333333,0.0017710550535661445,0.6459627329192548,0.9235048678720444,0.3354037267080745,1.915
Webb,0.09166666666666666,0.08255807318192766,0.47826086956521746,0.933240611961057,0.31055900621118004,1.8963
San Jacinto,0.0,0.0069072951628362115,0.5714285714285714,0.5424200278164117,0.7453416149068323,1.8661
Cochran,0.008333333333333333,0.000998832543285985,0.5465838509316772,0.7107093184979139,0.5900621118012422,1.8567
Sabine,0.008333333333333333,0.004230241086849148,0.7763975155279503,0.5632823365785814,0.49689440993788825,1.8491
Lamb,0.008333333333333333,0.004034548826883048,0.453416149068323,0.7983310152990264,0.5838509316770185,1.848
