County,LILATracts_1And10,SNAP Gap,Overall Food Insecurity Rate,% FI ≤ SNAP Threshold,Cost Per Meal
Anderson,3,2880.6,0.145,0.574,2.84
Andrews,0,665.52,0.098,0.602,2.94
Angelina,4,4225.2,0.173,0.68,2.84
Aransas,2,1861.25,0.182,0.685,3.01
Archer,0,369.12,0.142,0.463,2.96
Armstrong,0,77.48,0.122,0.402,3.08
Atascosa,1,1777.42,0.124,0.703,2.63
Austin,0,1183.0,0.134,0.532,3.04
Bailey,0,187.87,0.109,0.631,3.0
Bandera,1,975.72,0.16,0.518,3.74
Bastrop,3,3597.74,0.121,0.638,3.13
Baylor,0,117.7,0.163,0.515,2.95
Bee,3,1682.0,0.166,0.58,2.74
Bell,19,16992.24,0.151,0.642,2.65
Bexar,70,111606.05,0.139,0.719,2.78
Blanco,0,538.5,0.131,0.505,2.99
Borden,0,17.48,0.132,0.281,2.96
Bosque,1,1144.86,0.165,0.586,2.78
Bowie,2,4376.2,0.162,0.602,2.81
Brazoria,4,9081.68,0.114,0.452,2.85
Brazos,14,19180.0,0.155,0.74,2.78
Brewster,1,303.36,0.156,0.594,3.02
Briscoe,1,129.1,0.158,0.87,2.88
Brooks,1,627.9,0.22,0.87,2.52
Brown,5,1796.01,0.15,0.603,2.77
Burleson,1,672.1,0.137,0.53,2.81
Burnet,0,1982.46,0.138,0.522,2.97
Caldwell,4,2822.22,0.148,0.714,3.06
Calhoun,2,1036.3,0.141,0.726,2.89
Callahan,0,739.0,0.15,0.575,2.89
Cameron,31,38579.74,0.175,0.938,2.37
Camp,1,431.44,0.162,0.643,2.84
Carson,0,183.0,0.122,0.4,3.05
Cass,3,1481.23,0.175,0.649,2.89
Castro,0,388.5,0.118,0.815,3.16
Chambers,0,1508.4,0.128,0.458,2.94
Cherokee,4,2764.4,0.15,0.71,2.82
Childress,1,352.24,0.161,0.572,3.06
Clay,0,225.79,0.155,0.439,2.95
Cochran,1,252.08,0.169,0.792,3.08
Coke,1,159.19,0.155,0.569,2.85
Coleman,2,295.46,0.161,0.519,2.87
Collin,4,27995.5,0.111,0.355,3.25
Collingsworth,0,170.48,0.154,0.788,3.01
Colorado,2,1147.48,0.117,0.651,2.72
Comal,3,5171.06,0.122,0.422,3.15
Comanche,1,400.65,0.141,0.515,2.88
Concho,0,156.78,0.13,0.459,2.78
Cooke,1,1211.32,0.147,0.514,3.07
Coryell,7,3686.14,0.163,0.518,2.75
Cottle,1,145.16,0.231,0.832,2.99
Crane,0,251.6,0.083,0.844,2.93
Crockett,0,95.93,0.124,0.551,2.59
Crosby,0,406.08,0.166,0.864,3.08
Culberson,0,285.48,0.19,0.944,2.95
Dallam,0,347.9,0.129,0.585,2.86
Dallas,91,152172.24,0.14,0.736,2.99
Dawson,2,1076.03,0.185,0.719,3.05
DeWitt,0,915.3,0.148,0.63,2.67
Deaf Smith,1,1143.64,0.127,0.828,3.04
Delta,0,191.75,0.181,0.505,2.78
Denton,8,22276.44,0.113,0.392,3.13
Dickens,0,172.2,0.181,0.683,3.1
Dimmit,2,965.2,0.201,0.942,2.38
Donley,0,162.76,0.156,0.538,3.11
Duval,1,623.87,0.172,0.859,2.74
Eastland,3,1288.72,0.178,0.672,2.87
Ector,2,6056.3,0.115,0.665,2.81
