CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
48001950100,Texas,Anderson,0,4685,1874,0,49.0,1.05,0,0,0,0,0,0,16.2,69750.0,1,1,0,0,0,1,0,0,700.0,700.0,,218.0,218.0,,3880.0,82.83,1231.0,26.29,860.0,18.36,707.0,15.1,3349.0,71.48,342.0,7.31,20.0,0.43,0.0,0.0,13.0,0.27,156.0,3.34,203.0,4.34,26.0,1.4,140.0,7.48,3480.0,74.28,1082.0,23.1,760.0,16.22,642.0,13.7,3049.0,65.08,269.0,5.75,15.0,0.33,0.0,0.0,9.0,0.19,137.0,2.93,188.0,4.02,16.0,0.84,125.0,6.68,700.0,14.94,218.0,4.64,152.0,3.25,124.0,2.64,652.0,13.91,35.0,0.74,1.0,0.02,0.0,0.0,2.0,0.04,11.0,0.22,18.0,0.38,3.0,0.17,27.0,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,1653.0,1050.0,912.0,4012.0,452.0,22.0,0.0,13.0,186.0,236.0,46.0,165.0
48001950401,Texas,Anderson,0,5422,77,1,5219.0,96.26,0,0,0,0,0,0,1.0,81750.0,1,1,0,0,0,1,0,0,5380.0,5380.0,,1630.0,1630.0,,5422.0,100.0,1643.0,30.3,63.0,1.16,24.0,0.44,1825.0,33.66,2266.0,41.79,21.0,0.39,0.0,0.0,5.0,0.09,1305.0,24.07,1324.0,24.42,0.0,0.0,0.0,0.0,5422.0,100.0,1643.0,30.3,63.0,1.16,24.0,0.44,1825.0,33.66,2266.0,41.79,21.0,0.39,0.0,0.0,5.0,0.09,1305.0,24.07,1324.0,24.42,0.0,0.0,0.0,0.0,5380.0,99.22,1630.0,30.07,53.0,0.97,23.0,0.43,1786.0,32.94,2264.0,41.75,21.0,0.39,0.0,0.0,5.0,0.09,1304.0,24.05,1323.0,24.4,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,63.0,24.0,1825.0,2266.0,21.0,0.0,5.0,1305.0,1324.0,0.0,0.0
48001950402,Texas,Anderson,0,7535,83,1,7315.0,97.08,1,1,0,0,0,1,20.3,,1,1,0,0,0,1,0,0,7535.0,7535.0,,2118.0,2118.0,,7535.0,100.0,2118.0,28.11,66.0,0.88,134.0,1.78,2591.0,34.39,3248.0,43.11,13.0,0.17,0.0,0.0,10.0,0.13,1673.0,22.2,1737.0,23.05,0.0,0.0,8.0,9.37,7535.0,100.0,2118.0,28.11,66.0,0.88,134.0,1.78,2591.0,34.39,3248.0,43.11,13.0,0.17,0.0,0.0,10.0,0.13,1673.0,22.2,1737.0,23.05,0.0,0.0,8.0,9.37,7535.0,100.0,2118.0,28.11,66.0,0.88,134.0,1.78,2591.0,34.39,3248.0,43.11,13.0,0.17,0.0,0.0,10.0,0.13,1673.0,22.2,1737.0,23.05,0.0,0.0,8.0,9.37,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,66.0,134.0,2591.0,3248.0,13.0,0.0,10.0,1673.0,1737.0,0.0,12.0
48001950500,Texas,Anderson,1,4377,1604,0,86.0,1.96,1,1,1,1,1,1,21.1,38397.0,1,1,1,1,1,0,0,1,1948.0,3289.0,1948.0,1073.0,1888.0,1073.0,3289.0,75.13,1888.0,43.13,908.0,20.75,540.0,12.34,2187.0,49.97,604.0,13.8,16.0,0.37,2.0,0.05,13.0,0.3,466.0,10.65,806.0,18.42,115.0,7.16,232.0,14.45,1948.0,44.5,1073.0,24.51,489.0,11.17,383.0,8.75,1479.0,33.8,270.0,6.18,11.0,0.25,1.0,0.02,5.0,0.12,181.0,4.12,296.0,6.77,65.0,4.04,137.0,8.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2726.0,1293.0,627.0,2737.0,800.0,19.0,2.0,20.0,799.0,1389.0,130.0,310.0
48001950600,Texas,Anderson,1,6405,2253,0,96.0,1.5,1,1,1,1,1,1,10.0,55868.0,1,1,1,1,1,0,0,1,5019.0,5755.0,5019.0,2651.0,3110.0,2651.0,5755.0,89.85,3110.0,48.56,1730.0,27.01,735.0,11.48,3629.0,56.66,1471.0,22.96,67.0,1.05,0.0,0.0,40.0,0.62,548.0,8.56,884.0,13.8,242.0,10.74,315.0,13.99,5019.0,78.35,2651.0,41.39,1478.0,23.08,646.0,10.09,3442.0,53.74,1009.0,15.76,63.0,0.98,0.0,0.0,40.0,0.62,465.0,7.25,714.0,11.15,209.0,9.27,275.0,12.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2964.0,1950.0,791.0,3831.0,1674.0,68.0,4.0,43.0,785.0,1253.0,230.0,289.0
48001950700,Texas,Anderson,1,2640,903,0,229.0,8.67,0,1,0,0,0,1,27.5,39125.0,0,1,0,1,0,0,0,0,124.0,1319.0,124.0,86.0,915.0,86.0,1319.0,49.94,915.0,34.67,393.0,14.89,192.0,7.27,473.0,17.91,689.0,26.09,4.0,0.16,2.0,0.07,4.0,0.15,147.0,5.56,249.0,9.42,54.0,5.99,83.0,9.17,124.0,4.71,86.0,3.27,39.0,1.47,18.0,0.68,32.0,1.2,75.0,2.83,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.68,24.0,0.93,5.0,0.58,7.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1589.0,754.0,327.0,1051.0,1164.0,8.0,3.0,8.0,406.0,685.0,89.0,143.0
48001950800,Texas,Anderson,1,5246,2210,0,12.0,0.23,0,1,0,0,0,1,22.3,52768.0,0,1,0,1,0,0,0,0,302.0,3340.0,302.0,114.0,1198.0,114.0,3340.0,63.67,1198.0,22.84,833.0,15.87,583.0,11.11,2620.0,49.94,380.0,7.24,37.0,0.71,0.0,0.0,18.0,0.35,285.0,5.43,544.0,10.38,58.0,2.62,211.0,9.53,302.0,5.76,114.0,2.17,85.0,1.63,54.0,1.04,242.0,4.62,36.0,0.69,3.0,0.06,0.0,0.0,0.0,0.01,20.0,0.38,42.0,0.81,5.0,0.21,17.0,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2044.0,1350.0,821.0,3888.0,779.0,74.0,4.0,32.0,469.0,813.0,89.0,315.0
48001950901,Texas,Anderson,0,5938,1795,0,1133.0,19.08,0,0,0,0,0,1,8.8,48243.0,0,0,0,0,0,0,0,0,257.0,257.0,,129.0,129.0,,5937.0,99.98,2933.0,49.39,1200.0,20.21,780.0,13.13,4527.0,76.24,742.0,12.49,27.0,0.45,3.0,0.05,21.0,0.35,617.0,10.39,777.0,13.08,52.0,2.88,131.0,7.28,5879.0,99.0,2909.0,48.98,1183.0,19.93,770.0,12.97,4487.0,75.56,735.0,12.37,27.0,0.45,3.0,0.05,21.0,0.35,607.0,10.22,756.0,12.73,51.0,2.83,129.0,7.2,257.0,4.33,129.0,2.18,29.0,0.49,43.0,0.73,165.0,2.78,74.0,1.24,0.0,0.01,0.0,0.0,0.0,0.0,18.0,0.3,26.0,0.43,3.0,0.16,6.0,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,2620.0,1200.0,780.0,4528.0,742.0,27.0,3.0,21.0,617.0,777.0,51.0,134.0
48001950902,Texas,Anderson,0,4834,2001,0,1.0,0.02,0,0,0,1,1,1,10.9,49515.0,0,0,0,0,0,0,0,1,350.0,350.0,,164.0,164.0,,4832.0,99.96,2122.0,43.9,1020.0,21.09,925.0,19.13,4048.0,83.73,472.0,9.76,11.0,0.23,0.0,0.0,31.0,0.64,271.0,5.6,499.0,10.32,147.0,7.36,164.0,8.21,4697.0,97.17,2081.0,43.05,990.0,20.47,899.0,18.6,3937.0,81.45,459.0,9.49,9.0,0.19,0.0,0.0,29.0,0.59,263.0,5.45,486.0,10.06,147.0,7.36,160.0,7.99,350.0,7.25,164.0,3.4,67.0,1.39,54.0,1.13,304.0,6.3,30.0,0.62,3.0,0.05,0.0,0.0,0.0,0.0,14.0,0.28,23.0,0.47,12.0,0.62,12.0,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,2073.0,1020.0,925.0,4049.0,472.0,11.0,0.0,31.0,271.0,499.0,149.0,146.0
48001951000,Texas,Anderson,0,6988,2652,0,77.0,1.1,0,0,0,0,0,0,13.7,57759.0,0,0,0,0,0,0,0,0,263.0,263.0,,76.0,76.0,,6976.0,99.83,2712.0,38.82,1729.0,24.75,1173.0,16.78,6335.0,90.65,329.0,4.71,15.0,0.21,2.0,0.03,56.0,0.8,240.0,3.43,338.0,4.83,41.0,1.56,295.0,11.12,6945.0,99.39,2705.0,38.71,1720.0,24.62,1167.0,16.69,6308.0,90.27,326.0,4.67,15.0,0.21,2.0,0.03,56.0,0.8,239.0,3.42,336.0,4.81,41.0,1.55,293.0,11.07,263.0,3.77,76.0,1.09,57.0,0.81,45.0,0.64,245.0,3.51,14.0,0.2,0.0,0.0,0.0,0.0,2.0,0.02,2.0,0.03,5.0,0.07,1.0,0.03,12.0,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,2579.0,1733.0,1176.0,6344.0,331.0,15.0,2.0,56.0,240.0,338.0,38.0,305.0
